1	4323
2	4328
3	4788
4	5793
5	6917
6	8063
7	9218
8	10320
9	11459
10	12548
11	13629
12	14644
13	15733
14	16639
15	17614
16	18587
17	19516
18	20443
19	21237
20	22053
21	22975
22	23800
23	24634
24	25455
25	26196
26	26972
27	27737
28	28578
29	29205
30	29952
31	30658
32	31334
33	32166
34	32649
35	33534
36	34296
37	34703
38	35591
39	36172
40	36497
41	37491
42	37972
43	38444
44	39317
45	39794
46	40588
47	40921
48	41525
49	42486
50	42662
51	42865
52	43898
53	44617
54	45065
55	45679
56	46436
57	47270
58	48159
59	48691
60	49352
61	50367
62	50989
63	52088
64	52758
65	53902
66	54786
67	55708
68	57058
69	58075
70	59567
71	60835
72	61810
73	63381
74	65545
75	66038
76	67728
77	70250
78	72301
79	73836
80	76102
81	78977
82	81248
83	84658
84	87374
85	90232
86	94522
87	97652
88	103057
89	107159
90	135805
91	143704
92	151316
93	163598
94	179518
95	196977
96	224432
97	253485
98	290793
99	377968
100	468140
